Id,Name,Stage Name,Amount,Probability,Expected Revenue,Type,Lead Source,Forecast Category,Opportunity Source,CloseDate,Status,Created Date
0068d000009MWGPAA4,Opportunity for Harper529,Closed Won,17621,1,17621,New Business / Add-on,Web,Closed,AE,5/9/2029,Won,5/9/2023
0068d000009MWGQAA4,Opportunity for Duncan873,Closed Won,2400250,1,2400250,New Business,Advertisement,Closed,Marketing,8/25/2028,Won,8/25/2022
0068d000009MWGRAA4,Opportunity for Daniel875,Closed Won,5023650,1,5023650,Existing Business,Employee Referral,Closed,Marketing,5/15/2029,Won,5/15/2023
0068d000009MWGTAA4,Opportunity for McKenzie881,Closed Won,1684050,1,1684050,New Business,Web,Closed,Marketing,7/13/2028,Won,7/13/2022
0068d000009MWGUAA4,Opportunity for Duncan885,Qualification,413101,0.1,41310.1,New Business,Advertisement,Pipeline,Alliances,10/19/2029,Open,10/19/2023
0068d000009MWGZAA4,Opportunity for Baker1261,Closed Lost,41580,0,0,New Business / Add-on,Word of mouth,Omitted,Marketing,6/18/2029,Lost,6/18/2023
0068d000009MWJVAA4,Opportunity for White1730,Negotiation/Review,1994920,0.9,1795428,New Business / Add-on,Employee Referral,Forecast,Marketing,9/26/2029,Open,9/26/2023
0068d000009MWJWAA4,Opportunity for Griffin1731,Closed Won,455096,1,455096,New Business / Add-on,Word of mouth,Closed,Marketing,10/11/2028,Won,10/11/2022
0068d000009MWJXAA4,Opportunity for Marsh1734,Closed Won,309686,1,309686,New Business,Advertisement,Closed,AE,1/20/2029,Won,1/20/2023
0068d000009MWJZAA4,Opportunity for Arnold1738,Closed Lost,257045,0,0,New Business / Add-on,Partner,Omitted,AE,10/12/2028,Lost,10/12/2022
0068d000009MW7HAAW,Opportunity for Barrett259,Closed Lost,1589440,0,0,New Business,Public Relations,Omitted,AE,7/23/2028,Lost,7/23/2022
0068d000009MW7IAAW,Opportunity for Dennis260,Needs Analysis,2868400,0.2,573680,Existing Business,Public Relations,Pipeline,AE,8/27/2029,Open,8/27/2023
0068d000009MW7KAAW,Opportunity for Pittman263,Closed Won,1879190,1,1879190,New Business,Advertisement,Closed,Marketing,2/1/2029,Won,2/1/2023
0068d000009MW7LAAW,Opportunity for Holmes265,Prospecting,206640,0.1,20664,New Business,Word of mouth,Pipeline,Marketing,9/13/2029,Open,9/13/2023
0068d000009MWBiAAO,Opportunity for Andrews1118,Closed Won,591520,1,591520,New Business,Partner,Closed,Marketing,10/1/2028,Won,10/1/2022
0068d000009MWBkAAO,Opportunity for Estrada1122,Value Proposition,466560,0.5,233280,New Business,Trade Show,Pipeline,Marketing,1/9/2030,Open,1/9/2022
0068d000009MWBmAAO,Opportunity for Miles1126,Closed Won,142400,1,142400,New Business,Trade Show,Closed,AE,7/29/2029,Won,7/29/2023
0068d000009MWBoAAO,Opportunity for Alvarado1128,Closed Won,254886,1,254886,New Business / Add-on,Advertisement,Closed,AE,7/20/2029,Won,7/20/2023
0068d000009MWBpAAO,Opportunity for Wilkins1129,Closed Won,2210350,1,2210350,New Business / Add-on,Employee Referral,Closed,AE,2/7/2029,Won,2/7/2023
0068d000009MWBqAAO,Opportunity for Harris1133,Closed Won,524400,1,524400,New Business / Add-on,Seminar - Internal,Closed,Marketing,2/1/2029,Won,2/1/2023
